State,BuildingType,latitude,longitude,state,county,floorarea[Msf],WindowWallRatio[pu],Height[ft],GroundArea[ksf]
CA,FullServiceRestaurant,34.241394,-117.295068,CA,San Bernardino,8.897,0.17,21.8,4.065
CA,HighriseApartment,34.182643,-117.231087,CA,San Bernardino,341.121,0.33,121.3,7.105
CA,Hospital,34.103083,-117.477216,CA,San Bernardino,139.023,0.15,53.0,448.065
CA,IECC,34.228195,-117.290606,CA,San Bernardino,1809.326,0.14,20.4,2.571
CA,LargeHotel,34.088582,-117.474794,CA,San Bernardino,576.973,0.27,50.1,462.967
CA,LargeOffice,34.171676,-117.23434,CA,San Bernardino,103.431,0.38,121.5,29.137
CA,MediumOffice,34.178144,-117.220105,CA,San Bernardino,168.925,0.33,56.4,3.352
CA,MidriseApartment,34.17721,-117.222609,CA,San Bernardino,265.955,0.15,56.3,3.316
CA,Outpatient,34.214845,-117.353373,CA,San Bernardino,29.783,0.19,23.7,9.599
CA,PrimarySchool,34.235461,-117.344777,CA,San Bernardino,67.324,0.35,27.3,227.718
CA,QuickServiceRestaurant,34.241507,-117.305721,CA,San Bernardino,11.689,0.14,22.4,4.191
CA,RetailStandalone,34.225926,-117.323891,CA,San Bernardino,71.42,0.07,22.7,9.505
CA,RetailStripmall,34.22727,-117.326483,CA,San Bernardino,40.108,0.11,23.3,9.469
CA,SecondarySchool,34.151019,-117.409763,CA,San Bernardino,121.842,0.33,28.5,233.383
CA,SmallHotel,34.176983,-117.211486,CA,San Bernardino,34.17,0.11,55.8,3.341
CA,SmallOffice,34.241199,-117.295384,CA,San Bernardino,84.523,0.21,22.0,4.12
CA,Warehouse,34.203826,-117.35937,CA,San Bernardino,177.091,0.01,26.1,231.21
CA,FullServiceRestaurant,34.080633,-118.243203,CA,Los Angeles,24.619,0.17,23.8,4.117
CA,HighriseApartment,34.102794,-118.334566,CA,Los Angeles,4074.529,0.33,134.7,34.131
CA,Hospital,34.035625,-118.251207,CA,Los Angeles,333.004,0.15,55.2,184.156
CA,IECC,34.082475,-118.227404,CA,Los Angeles,4925.964,0.14,21.4,2.581
CA,LargeHotel,34.022729,-118.242553,CA,Los Angeles,1284.006,0.27,54.1,194.793
CA,LargeOffice,34.104891,-118.335485,CA,Los Angeles,1217.024,0.38,134.1,31.409
CA,MediumOffice,34.10154,-118.299785,CA,Los Angeles,1058.62,0.33,58.2,4.019
CA,MidriseApartment,34.100777,-118.299817,CA,Los Angeles,1678.53,0.15,58.2,4.064
CA,Outpatient,34.062474,-118.252734,CA,Los Angeles,109.574,0.19,26.2,9.924
CA,PrimarySchool,34.032593,-118.219985,CA,Los Angeles,224.131,0.35,29.7,102.505
CA,QuickServiceRestaurant,34.082928,-118.237582,CA,Los Angeles,32.66,0.14,23.7,4.095
CA,RetailStandalone,34.063895,-118.245816,CA,Los Angeles,263.995,0.07,25.5,9.841
CA,RetailStripmall,34.06167,-118.246872,CA,Los Angeles,148.906,0.11,25.9,9.84
CA,SecondarySchool,34.034847,-118.214503,CA,Los Angeles,398.287,0.33,29.6,94.506
CA,SmallHotel,34.100195,-118.299902,CA,Los Angeles,221.317,0.11,58.1,4.093
CA,SmallOffice,34.084031,-118.241507,CA,Los Angeles,246.321,0.21,23.9,4.114
CA,Warehouse,34.047366,-118.214812,CA,Los Angeles,510.997,0.01,28.1,93.013
CA,FullServiceRestaurant,32.933524,-117.122332,CA,San Diego,10.459,0.17,26.6,4.342
CA,HighriseApartment,32.920102,-117.104669,CA,San Diego,1472.32,0.33,114.0,18.292
CA,Hospital,32.921779,-117.146277,CA,San Diego,107.325,0.15,56.6,134.997
CA,IECC,32.912049,-117.106596,CA,San Diego,1752.569,0.14,25.4,2.609
CA,LargeHotel,32.916304,-117.14465,CA,San Diego,416.948,0.27,55.6,124.045
CA,LargeOffice,32.927377,-117.104624,CA,San Diego,428.036,0.38,115.4,22.008
CA,MediumOffice,32.951609,-117.106594,CA,San Diego,1024.843,0.33,58.6,3.565
CA,MidriseApartment,32.95231,-117.106622,CA,San Diego,1615.603,0.15,58.5,3.55
CA,Outpatient,32.91591,-117.129406,CA,San Diego,39.912,0.19,27.2,9.562
CA,PrimarySchool,32.890136,-117.128558,CA,San Diego,52.972,0.35,28.9,101.258
CA,QuickServiceRestaurant,32.938676,-117.112087,CA,San Diego,14.39,0.14,26.7,4.325
CA,RetailStandalone,32.916875,-117.123516,CA,San Diego,97.019,0.07,26.2,9.485
CA,RetailStripmall,32.91355,-117.125719,CA,San Diego,54.497,0.11,26.3,9.484
CA,SecondarySchool,32.910703,-117.12784,CA,San Diego,90.808,0.33,28.9,75.415
CA,SmallHotel,32.954471,-117.106806,CA,San Diego,211.685,0.11,58.4,3.578
CA,SmallOffice,32.940145,-117.116158,CA,San Diego,104.825,0.21,26.6,4.344
CA,Warehouse,32.902692,-117.129184,CA,San Diego,130.373,0.01,26.2,246.023
CA,FullServiceRestaurant,37.75034,-122.437607,CA,San Francisco,0.433,0.17,30.1,5.0
CA,HighriseApartment,37.771097,-122.420975,CA,San Francisco,560.035,0.33,159.3,46.165
CA,Hospital,37.764353,-122.428621,CA,San Francisco,65.643,0.15,59.4,56.196
CA,IECC,37.747135,-122.449433,CA,San Francisco,46.98,0.14,29.1,6.083
CA,LargeHotel,37.763347,-122.430568,CA,San Francisco,217.089,0.27,59.5,59.976
CA,LargeOffice,37.770541,-122.421627,CA,San Francisco,259.318,0.38,144.8,40.751
CA,MediumOffice,37.75061,-122.43797,CA,San Francisco,72.012,0.33,59.7,8.252
CA,MidriseApartment,37.750723,-122.439224,CA,San Francisco,181.043,0.15,60.3,8.25
CA,Outpatient,37.752087,-122.442029,CA,San Francisco,8.611,0.19,31.1,10.355
CA,PrimarySchool,37.758722,-122.445254,CA,San Francisco,17.355,0.35,31.1,62.074
CA,QuickServiceRestaurant,37.745756,-122.438946,CA,San Francisco,0.48,0.14,30.1,5.164
CA,RetailStandalone,37.750929,-122.441181,CA,San Francisco,12.93,0.07,30.8,10.459
CA,RetailStripmall,37.750689,-122.438927,CA,San Francisco,7.84,0.11,30.2,10.354
CA,SecondarySchool,37.755843,-122.445626,CA,San Francisco,38.389,0.33,29.9,43.381
CA,SmallHotel,37.749173,-122.440531,CA,San Francisco,14.731,0.11,60.5,7.912
CA,SmallOffice,37.747732,-122.437252,CA,San Francisco,5.365,0.21,30.5,5.099
CA,Warehouse,37.755561,-122.446223,CA,San Francisco,24.513,0.01,28.7,52.119
CA,FullServiceRestaurant,37.927054,-121.988084,CA,Contra Costa,3.196,0.17,25.4,4.077
CA,HighriseApartment,37.898819,-122.103044,CA,Contra Costa,729.485,0.33,123.8,111.245
CA,Hospital,37.921007,-122.040264,CA,Contra Costa,28.386,0.15,55.9,208.474
CA,IECC,37.934217,-121.983042,CA,Contra Costa,686.276,0.14,22.7,2.525
CA,LargeHotel,37.937314,-122.06105,CA,Contra Costa,118.443,0.27,58.2,342.31
CA,LargeOffice,37.903424,-122.108198,CA,Contra Costa,219.182,0.38,120.5,27.999
CA,MediumOffice,37.914546,-122.075668,CA,Contra Costa,265.315,0.33,59.2,3.386
CA,MidriseApartment,37.914525,-122.075412,CA,Contra Costa,418.117,0.15,59.3,3.453
CA,Outpatient,37.930892,-121.999891,CA,Contra Costa,13.35,0.19,26.4,9.518
CA,PrimarySchool,37.945124,-122.00588,CA,Contra Costa,16.943,0.35,28.7,134.96
CA,QuickServiceRestaurant,37.922015,-121.983621,CA,Contra Costa,4.766,0.14,24.9,4.1
CA,RetailStandalone,37.923049,-122.000322,CA,Contra Costa,31.401,0.07,25.5,9.505
CA,RetailStripmall,37.9223,-122.004445,CA,Contra Costa,17.513,0.11,25.2,9.551
CA,SecondarySchool,37.94559,-122.040458,CA,Contra Costa,27.03,0.33,29.1,77.116
CA,SmallHotel,37.913076,-122.075009,CA,Contra Costa,54.699,0.11,59.3,3.312
CA,SmallOffice,37.925569,-121.992865,CA,Contra Costa,33.496,0.21,24.9,4.113
CA,Warehouse,37.946515,-122.042118,CA,Contra Costa,37.461,0.01,26.6,78.722
CA,FullServiceRestaurant,37.523039,-122.288274,CA,San Mateo,1.62,0.17,26.7,4.495
CA,HighriseApartment,37.550369,-122.369087,CA,San Mateo,417.742,0.33,125.9,18.702
CA,Hospital,37.591651,-122.35163,CA,San Mateo,36.853,0.15,57.1,68.616
CA,IECC,37.536951,-122.311838,CA,San Mateo,388.892,0.14,23.8,2.699
CA,LargeHotel,37.586657,-122.357775,CA,San Mateo,121.606,0.27,57.4,151.315
CA,LargeOffice,37.549899,-122.36411,CA,San Mateo,217.085,0.38,125.9,14.61
CA,MediumOffice,37.553673,-122.355575,CA,San Mateo,116.934,0.33,58.8,3.813
CA,MidriseApartment,37.553818,-122.355751,CA,San Mateo,287.969,0.15,59.0,3.69
CA,Outpatient,37.549881,-122.311588,CA,San Mateo,12.61,0.19,27.2,9.863
CA,PrimarySchool,37.547758,-122.314665,CA,San Mateo,20.588,0.35,30.2,75.312
CA,QuickServiceRestaurant,37.532571,-122.306008,CA,San Mateo,1.858,0.14,26.4,4.515
CA,RetailStandalone,37.551125,-122.312796,CA,San Mateo,20.225,0.07,27.4,9.717
CA,RetailStripmall,37.547035,-122.309628,CA,San Mateo,12.848,0.11,27.2,9.718
CA,SecondarySchool,37.564356,-122.334853,CA,San Mateo,48.524,0.33,29.6,126.984
CA,SmallHotel,37.552302,-122.354408,CA,San Mateo,24.589,0.11,58.5,3.912
CA,SmallOffice,37.531656,-122.301685,CA,San Mateo,22.314,0.21,26.3,4.559
CA,Warehouse,37.551495,-122.326583,CA,San Mateo,30.416,0.01,27.7,73.794
CA,FullServiceRestaurant,37.680262,-122.03567,CA,Alameda,2.926,0.17,23.7,4.345
CA,HighriseApartment,37.77662,-122.151375,CA,Alameda,495.393,0.33,141.1,70.67
CA,Hospital,37.725912,-122.137562,CA,Alameda,55.311,0.15,53.9,132.02
CA,IECC,37.686155,-122.06666,CA,Alameda,807.679,0.14,20.8,2.573
CA,LargeHotel,37.698773,-122.094663,CA,Alameda,224.594,0.27,52.7,412.166
CA,LargeOffice,37.778965,-122.150696,CA,Alameda,240.338,0.38,134.5,28.188
CA,MediumOffice,37.743252,-122.115786,CA,Alameda,136.727,0.33,58.8,3.662
CA,MidriseApartment,37.743314,-122.116925,CA,Alameda,341.322,0.15,58.6,3.588
CA,Outpatient,37.689879,-122.070883,CA,Alameda,26.883,0.19,25.7,9.783
CA,PrimarySchool,37.649087,-122.051979,CA,Alameda,64.624,0.35,30.7,93.162
CA,QuickServiceRestaurant,37.686254,-122.057161,CA,Alameda,3.498,0.14,23.1,4.453
CA,RetailStandalone,37.688584,-122.067883,CA,Alameda,40.635,0.07,25.1,9.778
CA,RetailStripmall,37.683456,-122.063604,CA,Alameda,26.154,0.11,25.6,9.865
CA,SecondarySchool,37.656754,-122.07028,CA,Alameda,151.155,0.33,30.1,102.55
CA,SmallHotel,37.747697,-122.124399,CA,Alameda,27.351,0.11,57.6,3.687
CA,SmallOffice,37.684387,-122.058139,CA,Alameda,40.309,0.21,23.5,4.359
CA,Warehouse,37.660879,-122.063567,CA,Alameda,92.236,0.01,28.8,89.567
CA,FullServiceRestaurant,33.778172,-116.8277,CA,Riverside,12.113,0.17,22.2,4.423
CA,HighriseApartment,33.755791,-117.097381,CA,Riverside,376.481,0.33,120.9,8.467
CA,Hospital,33.875369,-117.348907,CA,Riverside,70.514,0.15,50.5,316.868
CA,IECC,33.793077,-116.999305,CA,Riverside,2172.736,0.14,20.9,2.663
CA,LargeHotel,33.885098,-117.293107,CA,Riverside,272.402,0.27,49.7,399.576
CA,LargeOffice,33.751837,-117.085073,CA,Riverside,119.09,0.38,118.5,33.89
CA,MediumOffice,33.746928,-117.216436,CA,Riverside,306.719,0.33,56.2,3.363
CA,MidriseApartment,33.746396,-117.217586,CA,Riverside,487.831,0.15,56.3,3.374
CA,Outpatient,33.774593,-116.799897,CA,Riverside,44.279,0.19,23.6,9.396
CA,PrimarySchool,33.802113,-117.049481,CA,Riverside,49.498,0.35,27.9,113.366
CA,QuickServiceRestaurant,33.776044,-116.813363,CA,Riverside,17.862,0.14,22.5,4.48
CA,RetailStandalone,33.773254,-116.777059,CA,Riverside,109.601,0.07,22.2,9.264
CA,RetailStripmall,33.773689,-116.791801,CA,Riverside,61.196,0.11,22.7,9.354
CA,SecondarySchool,33.83144,-117.068818,CA,Riverside,85.209,0.33,27.6,150.053
CA,SmallHotel,33.750054,-117.216522,CA,Riverside,64.218,0.11,56.3,3.543
CA,SmallOffice,33.772889,-116.819565,CA,Riverside,127.868,0.21,22.4,4.407
CA,Warehouse,33.798072,-116.986813,CA,Riverside,138.252,0.01,24.2,177.621
CA,FullServiceRestaurant,37.306745,-121.921964,CA,Santa Clara,4.704,0.17,22.4,4.493
CA,HighriseApartment,37.292848,-121.918849,CA,Santa Clara,355.105,0.33,124.3,60.829
CA,Hospital,37.359218,-121.950663,CA,Santa Clara,52.475,0.15,52.7,108.769
CA,IECC,37.309599,-121.919158,CA,Santa Clara,1215.574,0.14,19.4,2.763
CA,LargeHotel,37.364062,-121.970722,CA,Santa Clara,204.351,0.27,53.2,159.307
CA,LargeOffice,37.287911,-121.922449,CA,Santa Clara,171.417,0.38,123.8,37.282
CA,MediumOffice,37.2809,-121.904795,CA,Santa Clara,97.017,0.33,58.0,4.103
CA,MidriseApartment,37.282617,-121.908691,CA,Santa Clara,247.27,0.15,57.7,4.186
CA,Outpatient,37.319312,-121.924394,CA,Santa Clara,36.822,0.19,25.2,9.681
CA,PrimarySchool,37.336377,-121.908666,CA,Santa Clara,68.474,0.35,28.4,137.903
CA,QuickServiceRestaurant,37.302632,-121.907245,CA,Santa Clara,5.537,0.14,22.8,4.533
CA,RetailStandalone,37.313572,-121.916979,CA,Santa Clara,59.431,0.07,24.3,9.571
CA,RetailStripmall,37.314645,-121.919102,CA,Santa Clara,35.347,0.11,24.5,9.587
CA,SecondarySchool,37.332972,-121.909371,CA,Santa Clara,156.313,0.33,29.2,99.696
CA,SmallHotel,37.279966,-121.909203,CA,Santa Clara,21.554,0.11,58.2,4.256
CA,SmallOffice,37.309447,-121.922864,CA,Santa Clara,63.736,0.21,22.8,4.505
CA,Warehouse,37.314211,-121.891559,CA,Santa Clara,109.63,0.01,25.9,83.903
CA,FullServiceRestaurant,33.722084,-117.848004,CA,Orange,11.639,0.17,23.3,4.477
CA,HighriseApartment,33.658469,-117.770557,CA,Orange,874.139,0.33,125.0,42.467
CA,Hospital,33.723958,-117.850367,CA,Orange,87.595,0.15,53.9,119.175
CA,IECC,33.741184,-117.865216,CA,Orange,1830.748,0.14,20.5,2.921
CA,LargeHotel,33.732169,-117.852435,CA,Orange,340.738,0.27,52.6,184.188
CA,LargeOffice,33.658811,-117.770646,CA,Orange,253.318,0.38,125.5,23.824
CA,MediumOffice,33.669089,-117.747888,CA,Orange,447.44,0.33,58.3,4.059
CA,MidriseApartment,33.667163,-117.748549,CA,Orange,714.241,0.15,58.3,4.096
CA,Outpatient,33.733069,-117.8722,CA,Orange,54.259,0.19,24.9,9.701
CA,PrimarySchool,33.767968,-117.891089,CA,Orange,76.151,0.35,29.4,131.922
CA,QuickServiceRestaurant,33.72427,-117.849733,CA,Orange,15.293,0.14,23.3,4.557
CA,RetailStandalone,33.731637,-117.869898,CA,Orange,130.317,0.07,23.6,9.612
CA,RetailStripmall,33.730653,-117.870186,CA,Orange,72.654,0.11,24.0,9.657
CA,SecondarySchool,33.769265,-117.887042,CA,Orange,142.393,0.33,29.8,108.637
CA,SmallHotel,33.669243,-117.748962,CA,Orange,94.966,0.11,58.2,4.065
CA,SmallOffice,33.721521,-117.849726,CA,Orange,116.14,0.21,23.4,4.526
CA,Warehouse,33.75852,-117.88262,CA,Orange,176.486,0.01,27.4,82.331
