powerplant,generator,fuel,startup,shutdown,model,costs
ABIQUIU_DAM,HT,WATER,0.0,0.0,1,"0,0"
ACE_COGENERATION_FACILITY,,,0.0,0.0,1,"0,0"
ADAMS_E,PV,SUN,0.0,0.0,1,"0,0"
ADAMS_NIELSON_SOLAR,PV,SUN,0.0,0.0,1,"0,0"
ADAMS_SOLAR_CENTER,PV,SUN,0.0,0.0,1,"0,0"
ADELANTO_I,PV,SUN,0.0,0.0,1,"0,0"
ADELANTO_SOLAR_PROJECT,PV,SUN,0.0,0.0,1,"0,0"
ADERA,PV,SUN,0.0,0.0,1,"0,0"
ADOBE,PV,SUN,0.0,0.0,1,"0,0"
AES_ALAMITOS_LLC,CT|ST,NG|NG,0.0,0.0,1,"0,0"
AES_HUNTINGTON_BEACH_LLC,CT|ST,NG|NG,0.0,0.0,1,"0,0"
AES_REDONDO_BEACH_LLC,ST,NG,0.0,0.0,1,"0,0"
AFTON_GENERATING_STATION,CC,NG,0.0,0.0,1,"0,0"
AGNEWS_POWER_PLANT,CC,NG,0.0,0.0,1,"0,0"
AGUA_CALIENTE_SOLAR_PROJECT,PV,SUN,0.0,0.0,1,"0,0"
AGUA_FRIA,ST|CT|PV,NG|NG|SUN,0.0,0.0,1,"0,0"
AGUA_MANSA_POWER_PLANT,CT,NG,0.0,0.0,1,"0,0"
AIDLIN_GEOTHERMAL_POWER_PLANT,ST,GEO,0.0,0.0,1,"0,0"
AIRPORT_INDUSTRIAL,ST,OIL,0.0,0.0,1,"0,0"
AIRPORT_SOLAR,PV,SUN,0.0,0.0,1,"0,0"
ALAMEDA,CT,NG,0.0,0.0,1,"0,0"
ALAMO,HT,WATER,0.0,0.0,1,"0,0"
ALAMOSA,CT,NG,0.0,0.0,1,"0,0"
ALAMO_SOLAR,PV,SUN,0.0,0.0,1,"0,0"
ALBENI_FALLS,HT,WATER,0.0,0.0,1,"0,0"
ALCOVA,HT,WATER,0.0,0.0,1,"0,0"
ALDER,HT,WATER,0.0,0.0,1,"0,0"
ALGONQUIN_POWER_SANGER_LLC,CC,NG,0.0,0.0,1,"0,0"
ALGONQUIN_SKIC20_SOLAR_LLC,PV,SUN,0.0,0.0,1,"0,0"
ALGONQUIN_SKIC_10_SOLAR_LLC,PV,SUN,0.0,0.0,1,"0,0"
ALMOND_POWER_PLANT,CT,NG,0.0,0.0,1,"0,0"
ALPAUGH_50,PV,SUN,0.0,0.0,1,"0,0"
ALPAUGH_NORTH,PV,SUN,0.0,0.0,1,"0,0"
ALPINE_SOLAR,PV,SUN,0.0,0.0,1,"0,0"
ALTAMONT_PASS_WINDPLANT,,,0.0,0.0,1,"0,0"
ALTA_WIND_ENERGY_CENTER_I,WT,WIND,0.0,0.0,1,"0,0"
ALTA_WIND_ENERGY_CENTER_II,WT,WIND,0.0,0.0,1,"0,0"
ALTA_WIND_ENERGY_CENTER_III,WT,WIND,0.0,0.0,1,"0,0"
ALTA_WIND_ENERGY_CENTER_IV,WT,WIND,0.0,0.0,1,"0,0"
ALTA_WIND_ENERGY_CENTER_V,WT,WIND,0.0,0.0,1,"0,0"
ALTA_WIND_VIII,WT,WIND,0.0,0.0,1,"0,0"
ALTA_WIND_X,WT,WIND,0.0,0.0,1,"0,0"
ALTA_WIND_XI,WT,WIND,0.0,0.0,1,"0,0"
AMALGAMATED_SUGAR_TWIN_FALLS,ST|ST,COAL|NG,0.0,0.0,1,"0,0"
AMERESCO_OX_MOUNTAIN,CT,WASTE,0.0,0.0,1,"0,0"
AMERICAN_FALLS,HT,WATER,0.0,0.0,1,"0,0"
AMERICAN_FALLS_SOLAR,PV,SUN,0.0,0.0,1,"0,0"
AMERICAN_FALLS_SOLAR_II,PV,SUN,0.0,0.0,1,"0,0"
AMPERSAND_CHOWCHILLA_BIOMASS_LLC,ST,WOOD,0.0,0.0,1,"0,0"
ANDERSON_RANCH,HT,WATER,0.0,0.0,1,"0,0"
ANTELOPE_BIG_SKY_RANCH,PV,SUN,0.0,0.0,1,"0,0"
ANTELOPE_DSR_1,PV,SUN,0.0,0.0,1,"0,0"
ANTELOPE_VALLEY_I,PV,SUN,0.0,0.0,1,"0,0"
APACHE_SOLAR_1,PV,SUN,0.0,0.0,1,"0,0"
APACHE_STATION,CT|ST|ST,NG|NG|COAL,0.0,0.0,1,"0,0"
APPLE_CAMPUS_2_PV,PV,SUN,0.0,0.0,1,"0,0"
AP_NORTH_LAKE_I,PV,SUN,0.0,0.0,1,"0,0"
ARAGONNE_WIND_LLC,WT,WIND,0.0,0.0,1,"0,0"
ARAPAHOE_COMBUSTION_TURBINE_PROJECT,CC,NG,0.0,0.0,1,"0,0"
ARGUS_COGEN_PLANT,ST,COAL,0.0,0.0,1,"0,0"
ARKANSAS,PV,SUN,0.0,0.0,1,"0,0"
ARLINGTON_VALLEY_ENERGY_FACILITY,CC,NG,0.0,0.0,1,"0,0"
ARLINGTON_VALLEY_SOLAR_ENERGY_II,PV,SUN,0.0,0.0,1,"0,0"
ARLINGTON_WIND_POWER_PROJECT,WT,WIND,0.0,0.0,1,"0,0"
ARROWROCK_HYDROELECTRIC_PROJECT,HT,WATER,0.0,0.0,1,"0,0"
ARVADA,CT,NG,0.0,0.0,1,"0,0"
ASTORIA_1,PV,SUN,0.0,0.0,1,"0,0"
ASTORIA_2,PV,SUN,0.0,0.0,1,"0,0"
ATWELL_ISLAND,PV,SUN,0.0,0.0,1,"0,0"
ATWELL_ISLAND_SOLAR,PV,SUN,0.0,0.0,1,"0,0"
ATWELL_ISLAND_WEST_SOLAR,PV,SUN,0.0,0.0,1,"0,0"
AVALON_SOLAR,PV,SUN,0.0,0.0,1,"0,0"
AVALON_SOLAR_II,PV,SUN,0.0,0.0,1,"0,0"
AVRA_VALLEY_SOLAR,PV,SUN,0.0,0.0,1,"0,0"
AV_SOLAR_RANCH_ONE,PV,SUN,0.0,0.0,1,"0,0"
A_G_WISHON,HT,WATER,0.0,0.0,1,"0,0"
BADGER_1,PV,SUN,0.0,0.0,1,"0,0"
BADGER_CREEK_LIMITED,CT,NG,0.0,0.0,1,"0,0"
BAGDAD_SOLAR_PROJECT,PV,SUN,0.0,0.0,1,"0,0"
BALCH_1,HT,WATER,0.0,0.0,1,"0,0"
BALCH_2,HT,WATER,0.0,0.0,1,"0,0"
BARBER_CREEK,CT,NG,0.0,0.0,1,"0,0"
BARREN_RIDGE_1,PV,SUN,0.0,0.0,1,"0,0"
BARRE_PEAKER,CT,NG,0.0,0.0,1,"0,0"
BASIN_CREEK_PLANT,IC,NG,0.0,0.0,1,"0,0"
BAYSHORE_SOLAR_A_LLC,PV,SUN,0.0,0.0,1,"0,0"
BAYSHORE_SOLAR_B_LLC,PV,SUN,0.0,0.0,1,"0,0"
BAYSHORE_SOLAR_C_LLC,PV,SUN,0.0,0.0,1,"0,0"
BEARDSLEY,HT,WATER,0.0,0.0,1,"0,0"
BEAR_CREEK_SOLAR_CENTER,PV,SUN,0.0,0.0,1,"0,0"
BEAR_MOUNTAIN_COGEN,CT,NG,0.0,0.0,1,"0,0"
BEAVER,CC|CT,NG|NG,0.0,0.0,1,"0,0"
BELDEN,HT,WATER,0.0,0.0,1,"0,0"
BENNETT_CREEK_WINDFARM_LLC,WT,WIND,0.0,0.0,1,"0,0"
BENNETT_MOUNTAIN,CT,NG,0.0,0.0,1,"0,0"
BENSON_CREEK_WINDFARM_BURNT_RIVER,WT,WIND,0.0,0.0,1,"0,0"
BERRY_COGEN,CT,NG,0.0,0.0,1,"0,0"
BERRY_COGEN_TANNE_HILLS_18,CT,NG,0.0,0.0,1,"0,0"
BERRY_PLACERITA_COGEN,CT,NG,0.0,0.0,1,"0,0"
BIGLOW_CANYON_WIND_FARM,WT,WIND,0.0,0.0,1,"0,0"
BIG_CLIFF,HT,WATER,0.0,0.0,1,"0,0"
BIG_CREEK_1,HT,WATER,0.0,0.0,1,"0,0"
BIG_CREEK_3,HT,WATER,0.0,0.0,1,"0,0"
BIG_CREEK_4,HT,WATER,0.0,0.0,1,"0,0"
BIG_HORN_WIND_II,WT,WIND,0.0,0.0,1,"0,0"
BIG_HORN_WIND_PROJECT,WT,WIND,0.0,0.0,1,"0,0"
BIG_TIMBER_WIND_FARM,WT,WIND,0.0,0.0,1,"0,0"
BIOMASS_ONE_LP,ST,WOOD,0.0,0.0,1,"0,0"
BISON_SOLAR_LLC,PV,SUN,0.0,0.0,1,"0,0"
BLACKWELL,PV,SUN,0.0,0.0,1,"0,0"
BLACK_CANYON,HT,WATER,0.0,0.0,1,"0,0"
BLACK_EAGLE,HT,WATER,0.0,0.0,1,"0,0"
BLACK_MOUNTAIN_GENERATING_STATION,CT,NG,0.0,0.0,1,"0,0"
BLISS,HT,WATER,0.0,0.0,1,"0,0"
BLOOMINGTON_POWER_PLANT,ST,OIL,0.0,0.0,1,"0,0"
BLUE_MESA,HT,WATER,0.0,0.0,1,"0,0"
BLUE_SKY_RANCH_B,PV,SUN,0.0,0.0,1,"0,0"
BLUE_SPRUCE_ENERGY_CENTER,CT,NG,0.0,0.0,1,"0,0"
BLUFFVIEW,CC,NG,0.0,0.0,1,"0,0"
BLUNDELL,ST,GEO,0.0,0.0,1,"0,0"
BLYTHE_ENERGY_INC,CC,NG,0.0,0.0,1,"0,0"
BLYTHE_SOLAR_II_LLC,PV,SUN,0.0,0.0,1,"0,0"
BLYTHE_SOLAR_POWER_PROJECT,,,0.0,0.0,1,"0,0"
BONANZA,ST,COAL,0.0,0.0,1,"0,0"
BONNEVILLE,HT,WATER,0.0,0.0,1,"0,0"
BONNYBROOKE_PV,PV,SUN,0.0,0.0,1,"0,0"
BOULDER_PARK,IC,NG,0.0,0.0,1,"0,0"
BOUNDARY,HT,WATER,0.0,0.0,1,"0,0"
BOUNTIFUL_CITY,CT|IC|ST,NG|NG|OIL,0.0,0.0,1,"0,0"
BOWERMAN_POWER_LFG_LLC,CT,WASTE,0.0,0.0,1,"0,0"
BOWIE_POWER_STATION_LLC,,,0.0,0.0,1,"0,0"
BOX_CANYON,HT,WATER,0.0,0.0,1,"0,0"
BOYSEN,HT,WATER,0.0,0.0,1,"0,0"
BREA_EXPANSION_PLANT,CT,WASTE,0.0,0.0,1,"0,0"
BROOKFIELD_TEHACHAPI_1,WT,WIND,0.0,0.0,1,"0,0"
BROWNLEE,HT,WATER,0.0,0.0,1,"0,0"
BRUSH_GENERATION_FACILITY,CC|CT,NG|NG,0.0,0.0,1,"0,0"
BUCKS_CREEK,HT,WATER,0.0,0.0,1,"0,0"
BUENA_VISTA_ENERGY_LLC,WT,WIND,0.0,0.0,1,"0,0"
BUFFALO_BILL,HT,WATER,0.0,0.0,1,"0,0"
BURFORD_GIFFEN,,,0.0,0.0,1,"0,0"
BURLEY_BUTTE_WINDPARK,WT,WIND,0.0,0.0,1,"0,0"
BURNEY_FOREST_PRODUCTS,ST,WOOD,0.0,0.0,1,"0,0"
BUSCH_RANCH_II_WIND_FARM,WT,WIND,0.0,0.0,1,"0,0"
BUSCH_RANCH_WIND_ENERGY_FARM,WT,WIND,0.0,0.0,1,"0,0"
BUTT_VALLEY,HT,WATER,0.0,0.0,1,"0,0"
BYU_CENTRAL_HEATING_PLANT,CT,NG,0.0,0.0,1,"0,0"
CABAZON_WIND_FARM,WT,WIND,0.0,0.0,1,"0,0"
CABAZON_WIND_PARTNERS,WT,WIND,0.0,0.0,1,"0,0"
CABINET_GORGE,HT,WATER,0.0,0.0,1,"0,0"
CABIN_CREEK,HT,ELEC,0.0,0.0,1,"0,0"
CALABASAS_GAS_TO_ENERGY_FACILITY,CT,WASTE,0.0,0.0,1,"0,0"
CALIFORNIA_INSTITUTE_OF_TECHNOLOGY,CC,NG,0.0,0.0,1,"0,0"
CALIFORNIA_VALLEY_SOLAR_RANCH,PV,SUN,0.0,0.0,1,"0,0"
CALIPATRIA_SOLAR_FARM,PV,SUN,0.0,0.0,1,"0,0"
CALISTOGA_POWER_PLANT,ST,GEO,0.0,0.0,1,"0,0"
CALPEAK_POWER_BORDER_PEAKER_PLANT,CT,NG,0.0,0.0,1,"0,0"
CALPEAK_POWER_ENTERPRISE_PEAKER_PLANT,CT,NG,0.0,0.0,1,"0,0"
CALPEAK_POWER_PANOCHE_PEAKER_PLANT,CT,NG,0.0,0.0,1,"0,0"
CALPEAK_POWER_VACA_DIXON_PEAKER_PLANT,CT,NG,0.0,0.0,1,"0,0"
CAMANCHE,HT,WATER,0.0,0.0,1,"0,0"
CAMERON_RIDGE_LLC,WT,WIND,0.0,0.0,1,"0,0"
CAMINO,HT,WATER,0.0,0.0,1,"0,0"
CAMPBELL_HILL_WINDPOWER,WT,WIND,0.0,0.0,1,"0,0"
CAMPO_VERDE_SOLAR,PV,SUN,0.0,0.0,1,"0,0"
CAMP_REED,WT,WIND,0.0,0.0,1,"0,0"
CANTUA,,,0.0,0.0,1,"0,0"
CANTUA_SOLAR_STATION,PV,SUN,0.0,0.0,1,"0,0"
CANYON_FERRY,HT,WATER,0.0,0.0,1,"0,0"
CANYON_POWER_PLANT,CT,NG,0.0,0.0,1,"0,0"
CAPROCK_WIND_FARM,WT,WIND,0.0,0.0,1,"0,0"
CARDINAL_COGEN,,,0.0,0.0,1,"0,0"
CARIBOU_1,HT,WATER,0.0,0.0,1,"0,0"
CARIBOU_2,HT,WATER,0.0,0.0,1,"0,0"
CARMEN_SMITH,HT,WATER,0.0,0.0,1,"0,0"
CAROUSEL_WIND_FARM_LLC,,,0.0,0.0,1,"0,0"
CARSON_COGENERATION,CC,NG,0.0,0.0,1,"0,0"
CARSON_ICE-GEN_PROJECT,CC|CT,NG|NG,0.0,0.0,1,"0,0"
CARTY_GENERATING_STATION,CC,NG,0.0,0.0,1,"0,0"
CASCADE,HT,WATER,0.0,0.0,1,"0,0"
CASCADE_SOLAR,PV,SUN,0.0,0.0,1,"0,0"
CASCADE_SOLAR_PARK,,,0.0,0.0,1,"0,0"
CASPER_WIND_FARM,WT,WIND,0.0,0.0,1,"0,0"
CASSIA_GULCH_WIND_PARK_LLC,WT,WIND,0.0,0.0,1,"0,0"
CASSIA_WIND_FARM_LLC,WT,WIND,0.0,0.0,1,"0,0"
CASTAIC,HT|HT,WATER|ELEC,0.0,0.0,1,"0,0"
CATALINA_1_2,PV,SUN,0.0,0.0,1,"0,0"
CATALINA_SOLAR_2_LLC,PV,SUN,0.0,0.0,1,"0,0"
CATALINA_SOLAR_LLC,PV,SUN,0.0,0.0,1,"0,0"
CA_FLATS_SOLAR_130_LLC,PV,SUN,0.0,0.0,1,"0,0"
CA_VALLEY,PV,SUN,0.0,0.0,1,"0,0"
CEDAR_CREEK_II,WT,WIND,0.0,0.0,1,"0,0"
CEDAR_CREEK_WIND,WT,WIND,0.0,0.0,1,"0,0"
CEDAR_FALLS,HT,WATER,0.0,0.0,1,"0,0"
CEDAR_POINT_WIND,WT,WIND,0.0,0.0,1,"0,0"
CED_CORCORAN_2,PV,SUN,0.0,0.0,1,"0,0"
CED_WHITE_RIVER,PV,SUN,0.0,0.0,1,"0,0"
CENTER_PEAKER,ES|CT,ELEC|NG,0.0,0.0,1,"0,0"
CENTINELA_SOLAR_ENERGY,PV,SUN,0.0,0.0,1,"0,0"
CENTRAL_ANTELOPE_C,PV,SUN,0.0,0.0,1,"0,0"
CENTURY_GENERATING_FACILITY,CT,NG,0.0,0.0,1,"0,0"
CE_LEATHERS,ST,GEO,0.0,0.0,1,"0,0"
CE_TURBO_LLC,ST,GEO,0.0,0.0,1,"0,0"
CHALK_CLIFF_COGEN,CT,NG,0.0,0.0,1,"0,0"
CHANDLER,HT,WATER,0.0,0.0,1,"0,0"
CHEHALIS_GENERATING_FACILITY,CC,NG,0.0,0.0,1,"0,0"
CHELAN,HT,WATER,0.0,0.0,1,"0,0"
CHEROKEE,ST|CC|ST,COAL|NG|NG,0.0,0.0,1,"0,0"
CHEYENNE_PRAIRIE_GENERATING_STATION,CC|CT,NG|NG,0.0,0.0,1,"0,0"
CHICAGO_PARK,HT,WATER,0.0,0.0,1,"0,0"
CHIEF_JOSEPH,HT,WATER,0.0,0.0,1,"0,0"
CHILDRENS_HOSPITAL,CT|IC|ST,NG|NG|OIL,0.0,0.0,1,"0,0"
CHINO_SOLAR_VALLEY,PV,SUN,0.0,0.0,1,"0,0"
CHOLLA,ST,COAL,0.0,0.0,1,"0,0"
CHOPIN_WIND_LLC,WT,WIND,0.0,0.0,1,"0,0"
CHOWCHILLA_II,IC,NG,0.0,0.0,1,"0,0"
CHULA_VISTA_I,CT,NG,0.0,0.0,1,"0,0"
CIMARRON_SOLAR_FACILITY,PV,SUN,0.0,0.0,1,"0,0"
CITY_OF_CORCORAN,PV,SUN,0.0,0.0,1,"0,0"
CITY_OF_CORCORAN_SOLAR,PV,SUN,0.0,0.0,1,"0,0"
CIVIC_CENTER,CC,NG,0.0,0.0,1,"0,0"
CLEARWATER_1,HT,WATER,0.0,0.0,1,"0,0"
CLEARWATER_2,HT,WATER,0.0,0.0,1,"0,0"
CLEARWATER_PAPER_IPP_LEWISTON,ST,WOOD,0.0,0.0,1,"0,0"
CLEARWATER_POWER_PLANT,CC,NG,0.0,0.0,1,"0,0"
CLEAR_SPRING_RANCH_PV_PROJECT,,,0.0,0.0,1,"0,0"
COACHELLA,CT,NG,0.0,0.0,1,"0,0"
COALINGA_25D_COGEN,CT,NG,0.0,0.0,1,"0,0"
COCHRANE,HT,WATER,0.0,0.0,1,"0,0"
COGENTRIX_OF_ALAMOSA,PV,SUN,0.0,0.0,1,"0,0"
COLD_SPRINGS_WINDFARM,WT,WIND,0.0,0.0,1,"0,0"
COLEMAN_PH,HT,WATER,0.0,0.0,1,"0,0"
COLGATE,HT,WATER,0.0,0.0,1,"0,0"
COLLIERVILLE_POWERHOUSE,HT,WATER,0.0,0.0,1,"0,0"
COLORADO_ENERGY_NATIONS_COMPANY,ST,NG,0.0,0.0,1,"0,0"
COLORADO_GREEN_HOLDINGS_LLC,WT,WIND,0.0,0.0,1,"0,0"
COLORADO_HIGHLANDS_WIND,WT,WIND,0.0,0.0,1,"0,0"
COLSTRIP,ST,COAL,0.0,0.0,1,"0,0"
COLSTRIP_ENERGY_LP,ST,COAL,0.0,0.0,1,"0,0"
COLTON_PLANT,,,0.0,0.0,1,"0,0"
COLUMBIA_1,PV,SUN,0.0,0.0,1,"0,0"
COLUMBIA_3,PV,SUN,0.0,0.0,1,"0,0"
COLUMBIA_GENERATING_STATION,ST,NUC,0.0,0.0,1,"0,0"
COLUSA_GENERATING_STATION,CC,NG,0.0,0.0,1,"0,0"
COMANCHE,ST,COAL,0.0,0.0,1,"0,0"
COMANCHE_SOLAR,PV,SUN,0.0,0.0,1,"0,0"
COMBINE_HILLS_I,WT,WIND,0.0,0.0,1,"0,0"
COMBUSTION_TURBINE_PROJECT_NO_2,CT,NG,0.0,0.0,1,"0,0"
CONDON_WINDPOWER_LLC,WT,WIND,0.0,0.0,1,"0,0"
CONSUMER_PRODUCTS_CAMAS_LLC,,,0.0,0.0,1,"0,0"
CONTROL_GORGE,HT,WATER,0.0,0.0,1,"0,0"
COOLIDGE_GENERATION_STATION,CT,NG,0.0,0.0,1,"0,0"
COPCO_1,HT,ELEC,0.0,0.0,1,"0,0"
COPCO_2,HT,ELEC,0.0,0.0,1,"0,0"
COPPER_CROSSING_SOLAR_LLC,PV,SUN,0.0,0.0,1,"0,0"
CORCORAN,PV,SUN,0.0,0.0,1,"0,0"
CORCORAN_3,,,0.0,0.0,1,"0,0"
CORCORAN_IRRIGATION,PV,SUN,0.0,0.0,1,"0,0"
CORCORAN_IRRIGATION_DISTRICT_SOLAR,PV,SUN,0.0,0.0,1,"0,0"
CORCORAN_SOLAR,PV,SUN,0.0,0.0,1,"0,0"
CORCORAN_SOLAR_2,PV,SUN,0.0,0.0,1,"0,0"
CORCORAN_SOLAR_3,PV,SUN,0.0,0.0,1,"0,0"
CORONADO,ST,COAL,0.0,0.0,1,"0,0"
CORONAL_LOST_HILLS,PV,SUN,0.0,0.0,1,"0,0"
COSO_ENERGY_DEVELOPERS,ST,GEO,0.0,0.0,1,"0,0"
COSO_FINANCE_PARTNERS,ST,GEO,0.0,0.0,1,"0,0"
COSO_POWER_DEVELOPERS,ST,GEO,0.0,0.0,1,"0,0"
COSUMNES,CC,NG,0.0,0.0,1,"0,0"
COTTON_CENTER_SOLAR,PV,SUN,0.0,0.0,1,"0,0"
COUGAR,HT,WATER,0.0,0.0,1,"0,0"
COVANTA_MARION_INC,CT,WASTE,0.0,0.0,1,"0,0"
COVANTA_STANISLAUS_ENERGY,CT,WASTE,0.0,0.0,1,"0,0"
COWLITZ_FALLS,HT,WATER,0.0,0.0,1,"0,0"
COYOTE_SPRINGS,CC,NG,0.0,0.0,1,"0,0"
COYOTE_SPRINGS_II,CC,NG,0.0,0.0,1,"0,0"
CPV_SENTINEL_ENERGY_PROJECT,CT,NG,0.0,0.0,1,"0,0"
CPV_VACA_STATION_LLC,,,0.0,0.0,1,"0,0"
CRAIG,ST,COAL,0.0,0.0,1,"0,0"
CREED_ENERGY_CENTER,CT,NG,0.0,0.0,1,"0,0"
CRESTA,HT,WATER,0.0,0.0,1,"0,0"
CROCKETT_COGEN_PROJECT,CC,NG,0.0,0.0,1,"0,0"
CRYSTAL,HT,WATER,0.0,0.0,1,"0,0"
CULBERTSON_GENERATION_STATION,CT,NG,0.0,0.0,1,"0,0"
CUNNINGHAM,CT|ST,NG|NG,0.0,0.0,1,"0,0"
CURRANT_CREEK,CC,NG,0.0,0.0,1,"0,0"
CUSHMAN_1,HT,WATER,0.0,0.0,1,"0,0"
CUSHMAN_2,HT,WATER,0.0,0.0,1,"0,0"
CUTLER,HT,WATER,0.0,0.0,1,"0,0"
CUYAMACA_PEAK_ENERGY_PLANT,CT,NG,0.0,0.0,1,"0,0"
CUYAMA_SOLAR_LLC,PV,SUN,0.0,0.0,1,"0,0"
CYMRIC_36W_COGEN,CT,NG,0.0,0.0,1,"0,0"
C_J_STRIKE,HT,WATER,0.0,0.0,1,"0,0"
C_P_KELCO_SAN_DIEGO_PLANT,CT,NG,0.0,0.0,1,"0,0"
DAVE_GATES_GENERATING_STATION,CT,NG,0.0,0.0,1,"0,0"
DAVE_JOHNSTON,ST,COAL,0.0,0.0,1,"0,0"
DAVIS_DAM,HT,WATER,0.0,0.0,1,"0,0"
DAVIS_MONTHAN_AFB_AZ_WEST_AIRFIELD,PV,SUN,0.0,0.0,1,"0,0"
DELTA_ENERGY_CENTER,CC,NG,0.0,0.0,1,"0,0"
DEL_RANCH_COMPANY,ST,GEO,0.0,0.0,1,"0,0"
DEMOSS_PETRIE,CT,NG,0.0,0.0,1,"0,0"
DESERT_BASIN,CC,NG,0.0,0.0,1,"0,0"
DESERT_MEADOW_WINDFARM,WT,WIND,0.0,0.0,1,"0,0"
DESERT_STATELINE,PV,SUN,0.0,0.0,1,"0,0"
DESERT_SUNLIGHT_250_LLC,PV,SUN,0.0,0.0,1,"0,0"
DESERT_SUNLIGHT_300_LLC,PV,SUN,0.0,0.0,1,"0,0"
DESERT_VIEW_POWER,ST,WOOD,0.0,0.0,1,"0,0"
DETROIT,HT,WATER,0.0,0.0,1,"0,0"
DEVIL_CANYON,HT,WATER,0.0,0.0,1,"0,0"
DEXTER,HT,WATER,0.0,0.0,1,"0,0"
DE_SABLA,HT,WATER,0.0,0.0,1,"0,0"
DIABLO,HT,WATER,0.0,0.0,1,"0,0"
DIABLO_CANYON,ST,NUC,0.0,0.0,1,"0,0"
DIABLO_WIND_LLC,WT,WIND,0.0,0.0,1,"0,0"
DIAMOND_VALLEY_LAKE,HT,WATER,0.0,0.0,1,"0,0"
DIAMOND_WILLOW_WIND_FACILITY,WT,WIND,0.0,0.0,1,"0,0"
DILLARD_COMPLEX,ST,WOOD,0.0,0.0,1,"0,0"
DILLON_WIND_LLC,WT,WIND,0.0,0.0,1,"0,0"
DINOSAUR_POINT,WT,WIND,0.0,0.0,1,"0,0"
DION_R_HOLM,HT,WATER,0.0,0.0,1,"0,0"
DONALD_VON_RAESFELD_POWER_PLANT,CC,NG,0.0,0.0,1,"0,0"
DONNELLS,HT,WATER,0.0,0.0,1,"0,0"
DON_PEDRO,HT,WATER,0.0,0.0,1,"0,0"
DOUBLE_C,CT,NG,0.0,0.0,1,"0,0"
DOUGLAS,ST,OIL,0.0,0.0,1,"0,0"
DREWS_GENERATING_FACILITY,CT,NG,0.0,0.0,1,"0,0"
DROP_2_CA,HT,WATER,0.0,0.0,1,"0,0"
DROP_4,HT,WATER,0.0,0.0,1,"0,0"
DRUM_1,HT,WATER,0.0,0.0,1,"0,0"
DRUM_2,HT,WATER,0.0,0.0,1,"0,0"
DRY_FORK_STATION,ST,COAL,0.0,0.0,1,"0,0"
DRY_LAKE_WIND_II_LLC,WT,WIND,0.0,0.0,1,"0,0"
DRY_LAKE_WIND_LLC,WT,WIND,0.0,0.0,1,"0,0"
