2018-01-01,New Year's Day
2018-01-15,Martin Luther King Jr. Day
2018-05-28,Memorial Day
2018-06-19,Juneteenth
2018-07-04,Independence Day
2018-09-03,Labor Day
2018-11-12,Veterans Day
2018-11-22,Thanksgiving
2018-12-25,Christmas
2019-01-01,New Year's Day
2019-01-21,Martin Luther King Jr. Day
2019-05-27,Memorial Day
2019-06-19,Juneteenth
2019-07-04,Independence Day
2019-09-02,Labor Day
2019-11-12,Veterans Day
2019-11-28,Thanksgiving
2019-12-25,Christmas
2020-01-01,New Year's Day
2020-01-20,Martin Luther King Jr. Day
2020-05-25,Memorial Day
2020-06-19,Juneteenth
2020-07-03,Independence Day
2020-09-07,Labor Day
2020-11-11,Veterans Day
2020-11-26,Thanksgiving
2020-12-25,Christmas
2021-01-01,New Year's Day
2021-01-18,Martin Luther King Jr. Day
2021-02-15,Washington's Birthday
2021-05-31,Memorial Day
2021-06-19,Juneteenth
2021-07-05,Independence Day
2021-09-06,Labor Day
2021-11-11,Veterans Day
2021-11-25,Thanksgiving
2021-12-24,Christmas
2022-01-01,New Year's Day
2022-01-17,Martin Luther King Jr. Day
2022-02-21,Washington's Birthday
2022-05-30,Memorial Day
2022-06-19,Juneteenth
2022-07-04,Independence Day
2022-09-05,Labor Day
2022-11-11,Veterans Day
2022-11-24,Thanksgiving
2022-12-24,Christmas
2023-01-02,New Year's Day
2023-01-16,Martin Luther King Jr. Day
2023-02-20,Washington's Birthday
2023-05-29,Memorial Day
2023-06-19,Juneteenth
2023-07-04,Independence Day
2023-09-04,Labor Day
2023-11-10,Veterans Day
2023-11-23,Thanksgiving
2023-12-25,Christmas