name,unit,capacity[MW],Capacity Rating,start[y],retirement[y],latitude,longitude,county,state,type
Adelanto Solar,,20.0,MWac,2015.0,,34.5572,-117.3775,San Bernardino County,California,PV
Adera Solar,,20.0,MWac,2015.0,,37.1206,-120.3249,Madera County,California,PV
Adobe Solar,,20.0,MWac,2014.0,,35.1028,-118.9544,Kern County,California,PV
Agua Caliente Solar Project,1,91.0,MWac,2012.0,,32.9774,-113.4945,Yuma County,Arizona,PV
Agua Caliente Solar Project,2,136.0,MWac,2012.0,,32.9774,-113.4945,Yuma County,Arizona,PV
Agua Caliente Solar Project,3,121.0,MWac,2014.0,,32.9774,-113.4945,Yuma County,Arizona,PV
Airport Solar,,47.0,MWac,2019.0,,42.1702,-120.4023,Lake County,Oregon,PV
Alamo (California) solar farm,,20.0,MWac,2015.0,,34.685,-117.346,San Bernardino County,California,PV
Alpaugh solar farm,50,50.0,MWac,2012.0,,35.8983,-119.4353,Tulare County,California,PV
Alpaugh solar farm,North,20.0,MWac,2012.0,,35.9025,-119.4428,Tulare County,California,PV
Alpine Solar,1,66.0,MWac,2013.0,,34.7892,-118.5047,Los Angeles County,California,PV
Alta Luna solar farm,,28.0,MWac,2017.0,,32.573,-107.459,Luna County,New Mexico,PV
American Falls Solar,1,20.0,MWac,2017.0,,42.824,-112.752,Power County,Idaho,PV
American Falls Solar,2,20.0,MWac,2017.0,,42.824,-112.752,Power County,Idaho,PV
American Kings Solar,,128.0,MWac,2020.0,,36.2401,-119.898,Kings County,California,PV
Antelope Big Sky Ranch solar farm,,20.0,MWac,2016.0,,34.6948,-118.2877,Los Angeles County,California,PV
Antelope Dsr solar farm,1,50.0,MWac,2016.0,,34.6556,-118.2807,Los Angeles County,California,PV
Antelope Dsr solar farm,2,105.0,MWac,2018.0,,34.752,-118.315,Los Angeles County,California,PV
Antelope Dsr solar farm,3,20.0,MWac,2019.0,,34.74,-118.303,Los Angeles County,California,PV
Ap North Lake I solar farm,,20.0,MWac,2015.0,,33.7401,-117.0106,Riverside County,California,PV
Apache Solar 1,,20.0,MWac,2017.0,,32.0681,-109.8904,Cochise County,Arizona,PV
Apex Solar Power Project,,20.0,MWac,2012.0,,36.391,-114.964,Clark County,Nevada,PV
Arlington Energy Center (NextEra) solar farm,1,100.0,MWac,2022.0,,33.6909,-114.7749,Riverside County,California,PV
Arlington Energy Center (NextEra) solar farm,3,131.0,MWac,2022.0,,33.6909,-114.7749,Riverside County,California,PV
Arlington Valley Solar Energy II,1,28.0,MWac,2013.0,,33.305,-112.8339,Maricopa County,Arizona,PV
Arlington Valley Solar Energy II,2,28.0,MWac,2013.0,,33.305,-112.8339,Maricopa County,Arizona,PV
Arlington Valley Solar Energy II,3,26.0,MWac,2013.0,,33.305,-112.8339,Maricopa County,Arizona,PV
Arlington Valley Solar Energy II,4,28.0,MWac,2013.0,,33.305,-112.8339,Maricopa County,Arizona,PV
Arrow Canyon Solar Hybrid,,200.0,MWac,2022.0,,36.4593,-114.8444,Clark County,Nevada,PV
Astoria solar farm,1,100.0,MWac,2016.0,,34.8442,-118.4585,Kern County,California,PV
Astoria solar farm,2,75.0,MWac,2016.0,,34.8366,-118.4802,Kern County,California,PV
Athos Solar,1,250.0,MWac,2022.0,,33.7513,-115.355,Riverside County,California,PV
Athos Solar,2,200.0,MWac,2021.0,,33.7513,-115.355,Riverside County,California,PV
Atwell Island solar farm,East,20.0,MWac,2013.0,,35.8143,-119.4519,Tulare County,California,PV
Atwell Island solar farm,West,20.0,MWac,2015.0,,35.815,-119.4597,Tulare County,California,PV
Av Solar Ranch One solar farm,,253.0,MWac,2014.0,,34.7803,-118.4244,Los Angeles County,California,PV
Avalon (Coronal Group) solar farm,,29.0,MWac,2014.0,,32.03,-110.959,Pima County,Arizona,PV
Avra Valley Solar,,25.0,MWac,2013.0,,32.3717,-111.2828,Pima County,Arizona,PV
Axium Modesto Solar,,25.0,MWac,2012.0,,37.7357,-120.9908,Stanislaus County,California,PV
Bakersfield Solar,,20.0,MWac,2015.0,,35.1261,-119.2433,Kern County,California,PV
Barren Ridge solar farm,,60.0,MWac,2016.0,,35.2047,-118.0688,Kern County,California,PV
Battle Mountain Solar Project,,101.0,MWac,2021.0,,40.7184,-117.0614,Humboldt County,Nevada,PV
Bayshore Solar,1,20.0,MWac,2017.0,,34.6678,-118.2981,Los Angeles County,California,PV
Bayshore Solar,2,20.0,MWac,2017.0,,34.6783,-118.3026,Los Angeles County,California,PV
Bayshore Solar,3,20.0,MWac,2017.0,,34.6813,-118.3141,Los Angeles County,California,PV
Beacon Solar Plant,2,47.0,MWac,2017.0,,35.2658,-117.9992,Kern County,California,PV
Beacon Solar Plant,5,38.0,MWac,2017.0,,35.2489,-118.0344,Kern County,California,PV
Big Beau Solar,,128.0,MWac,2022.0,,34.907,-118.3441,,California,PV
Bighorn Solar 1,,240.0,MWac,2021.0,,38.2075,-104.5967,Pueblo County,Colorado,PV
Bison Solar,,30.0,MWac,2016.0,,40.8638,-105.0111,Larimer County,Colorado,PV
Blackwell Solar Park,,20.0,MWac,2019.0,,35.612,-119.845,Kern County,California,PV
Blythe (Clearway) solar farm,1,21.0,MWac,2009.0,,33.5917,-114.7444,Riverside County,California,PV
Blythe (Clearway) solar farm,2,20.0,MWac,2017.0,,33.6187,-114.6962,Riverside County,California,PV
Blythe (NextEra) solar farm,1A,39.0,MWac,2016.0,,33.6801,-114.742,Riverside County,California,PV
Blythe (NextEra) solar farm,1B,36.0,MWac,2016.0,,33.6801,-114.742,Riverside County,California,PV
Blythe (NextEra) solar farm,1C,35.0,MWac,2016.0,,33.6801,-114.742,Riverside County,California,PV
Blythe (NextEra) solar farm,2A,33.0,MWac,2016.0,,33.6801,-114.73,Riverside County,California,PV
Blythe (NextEra) solar farm,2B,34.0,MWac,2016.0,,33.6801,-114.73,Riverside County,California,PV
Blythe (NextEra) solar farm,2C,32.0,MWac,2016.0,,33.674,-114.744,Riverside County,California,PV
Blythe (NextEra) solar farm,2D,32.0,MWac,2016.0,,33.674,-114.744,Riverside County,California,PV
Blythe (NextEra) solar farm,3A,137.0,MWac,2020.0,,33.656,-114.742,Riverside County,California,PV
Blythe (NextEra) solar farm,4A,69.0,MWac,2020.0,,33.682,-114.768,Riverside County,California,PV
Blythe (NextEra) solar farm,4B,69.0,MWac,2020.0,,33.682,-114.768,Riverside County,California,PV
Boise solar farm,,40.0,MWac,2016.0,,43.444,-116.333,Ada County,Idaho,PV
Bonnybrooke PV solar farm,,50.0,MWac,2016.0,,33.053,-111.34,Pinal County,Arizona,PV
Borden solar farm,,50.0,MWac,2020.0,,36.9411,-119.96,Madera County,California,PV
Borrego solar farm,,26.0,MWac,2013.0,,33.295,-116.353,San Diego County,California,PV
Boulder Solar,1,100.0,MWac,2016.0,,35.833,-114.983,Clark County,Nevada,PV
Boulder Solar,2,50.0,MWac,2017.0,,35.8501,-114.944,Clark County,Nevada,PV
Britton Solar Energy Center,,50.0,MWac,2019.0,,35.016,-106.098,Torrance County,New Mexico,PV
CA Flats Solar,1,130.0,MWac,2017.0,,35.869,-120.34,San Luis Obispo County,California,PV
CA Flats Solar,2,150.0,MWac,2019.0,,35.84,-120.305,San Luis Obispo County,California,PV
CED Ducor solar farm,1,20.0,MWac,2016.0,,35.8563,-119.0684,Tulare County,California,PV
CED Ducor solar farm,2,20.0,MWac,2016.0,,35.8442,-119.0681,Tulare County,California,PV
CED Ducor solar farm,4,20.0,MWac,2016.0,,35.8504,-119.027,Tulare County,California,PV
CID Solar,,20.0,MWac,2014.0,,36.13,-119.544,Kings County,California,PV
California Valley Solar Ranch,1,21.0,MWac,2012.0,,35.3237,-119.9166,San Luis Obispo County,California,PV
California Valley Solar Ranch,2,40.0,MWac,2013.0,,35.3237,-119.9166,San Luis Obispo County,California,PV
California Valley Solar Ranch,3,87.0,MWac,2013.0,,35.3237,-119.9166,San Luis Obispo County,California,PV
California Valley Solar Ranch,4,70.0,MWac,2013.0,,35.3237,-119.9166,San Luis Obispo County,California,PV
California Valley Solar Ranch,5,32.0,MWac,2013.0,,35.3237,-119.9166,San Luis Obispo County,California,PV
Calipatria solar farm,,20.0,MWac,2016.0,,33.144,-115.499,Imperial County,California,PV
Camelot solar farm,,45.0,MWac,2014.0,,35.017,-118.177,Kern County,California,PV
Campo Verde Solar,,147.0,MWac,2013.0,,32.7533,-115.7264,Imperial County,California,PV
Cantua Solar Station,,20.0,MWac,2012.0,,36.4251,-120.3435,Fresno County,California,PV
Caprock Solar,1,25.0,MWac,2016.0,,34.984,-103.623,Quay County,New Mexico,PV
Catalina Solar,1,110.0,MWac,2012.0,,34.9383,-118.3345,Kern County,California,PV
Catalina Solar,2,24.0,unknown,2015.0,,34.922,-118.362,Kern County,California,PV
Centinela Solar Energy,1,34.0,MWac,2013.0,,32.6869,-115.6478,Imperial County,California,PV
Centinela Solar Energy,2,27.0,MWac,2013.0,,32.6869,-115.6478,Imperial County,California,PV
Centinela Solar Energy,3,34.0,MWac,2013.0,,32.6869,-115.6478,Imperial County,California,PV
Centinela Solar Energy,4,34.0,MWac,2013.0,,32.6869,-115.6478,Imperial County,California,PV
Centinela Solar Energy,6,27.0,MWac,2014.0,,32.6869,-115.6478,Imperial County,California,PV
Central 40 solar farm,,40.0,MWac,2021.0,,37.246,-121.104,Stanislaus County,California,PV
Central Antelope Dry Ranch solar farm,,20.0,MWac,2016.0,,34.7205,-118.3005,Los Angeles County,California,PV
Central Line Solar,,100.0,MWac,2022.0,,32.8343,-111.568,Pinal County,Arizona,PV
Chaves Solar,,70.0,MWac,2016.0,,33.4501,-104.456,Chaves County,New Mexico,PV
Cimarron Solar Facility,,31.0,MWac,2010.0,,36.4681,-104.6357,Colfax County,New Mexico,PV
Citizens Imperial Solar,,30.0,MWac,2019.0,,33.1917,-115.4338,Imperial County,California,PV
Clover Creek (Utah) Solar,,80.0,MWac,2021.0,,39.8407,-111.8877,Juab County,Utah,PV
Cogentrix Of Alamosa solar farm,,30.0,MWac,2012.0,,37.5986,-105.9558,Alamosa County,Colorado,PV
Colgreen North Shore solar farm,,75.0,MWac,2018.0,,33.5401,-115.9748,Riverside County,California,PV
Comanche Solar,,120.0,MWac,2016.0,,38.2053,-104.5667,Pueblo County,Colorado,PV
Copper Crossing solar farm,,20.0,MWac,2011.0,,33.1606,-111.484,Pinal County,Arizona,PV
Copper Mountain Solar 1,,48.0,MWac,2010.0,,35.7814,-114.993,Clark County,Nevada,PV
Copper Mountain Solar 2,1,34.0,MWac,2012.0,,35.7864,-114.9628,Clark County,Nevada,PV
Copper Mountain Solar 2,2,30.0,MWac,2012.0,,35.7864,-114.9628,Clark County,Nevada,PV
Copper Mountain Solar 2,3,30.0,MWac,2012.0,,35.7864,-114.9628,Clark County,Nevada,PV
Copper Mountain Solar 2,4,30.0,MWac,2015.0,,35.7864,-114.9628,Clark County,Nevada,PV
Copper Mountain Solar 2,5,30.0,MWac,2015.0,,35.7864,-114.9628,Clark County,Nevada,PV
Copper Mountain Solar 3,1,26.0,MWac,2014.0,,35.8894,-114.9579,Clark County,Nevada,PV
Copper Mountain Solar 3,10,24.0,MWac,2015.0,,35.8894,-114.9579,Clark County,Nevada,PV
Copper Mountain Solar 3,2,27.0,MWac,2014.0,,35.8894,-114.9579,Clark County,Nevada,PV
Copper Mountain Solar 3,3,26.0,MWac,2014.0,,35.8894,-114.9579,Clark County,Nevada,PV
Copper Mountain Solar 3,4,28.0,MWac,2014.0,,35.8894,-114.9579,Clark County,Nevada,PV
Copper Mountain Solar 3,5,25.0,MWac,2014.0,,35.8894,-114.9579,Clark County,Nevada,PV
Copper Mountain Solar 3,6,26.0,MWac,2014.0,,35.8894,-114.9579,Clark County,Nevada,PV
Copper Mountain Solar 3,7,26.0,MWac,2014.0,,35.8894,-114.9579,Clark County,Nevada,PV
Copper Mountain Solar 3,8,26.0,MWac,2014.0,,35.8894,-114.9579,Clark County,Nevada,PV
Copper Mountain Solar 3,9,21.0,MWac,2015.0,,35.8894,-114.9579,Clark County,Nevada,PV
Copper Mountain Solar 4,1,42.0,MWac,2016.0,,35.7822,-114.9754,Clark County,Nevada,PV
Copper Mountain Solar 4,2,52.0,MWac,2016.0,,35.7822,-114.9754,Clark County,Nevada,PV
Copper Mountain Solar 5,,252.0,MWac,2021.0,,35.7763,-114.9737,Clark County,Nevada,PV
Corcoran Solar,1,20.0,MWac,2013.0,,36.1383,-119.5733,Kings County,California,PV
Corcoran Solar,2,20.0,MWac,2015.0,,36.1419,-119.5817,Kings County,California,PV
Corcoran Solar,3,20.0,MWac,2016.0,,36.1504,-119.5854,Kings County,California,PV
Coronal Lost Hills solar farm,,20.0,MWac,2015.0,,35.7267,-119.9058,Kern County,California,PV
Cove Mountain Solar,1,58.0,MWac,2020.0,,37.6231,-113.6192,Iron County,Utah,PV
Cove Mountain Solar,2,122.0,MWac,2020.0,,37.6386,-113.6371,Iron County,Utah,PV
Crescent Dunes Solar Energy,,125.0,MWac,2015.0,,38.2389,-117.3636,Nye County,Nevada,PV
Cuyama Solar,,40.0,MWac,2017.0,,34.901,-119.596,Santa Barbara County,California,PV
Desert Harvest solar farm,1,80.0,MWac,2020.0,,33.8001,-115.38,Riverside County,California,PV
Desert Harvest solar farm,2,70.0,MWac,2020.0,,33.8001,-115.38,Riverside County,California,PV
Desert Sunlight 250 solar farm,12,29.0,MWac,2013.0,,33.8055,-115.3947,Riverside County,California,PV
Desert Sunlight 250 solar farm,13,25.0,MWac,2013.0,,33.8055,-115.3947,Riverside County,California,PV
Desert Sunlight 250 solar farm,14,23.0,MWac,2013.0,,33.8055,-115.3947,Riverside County,California,PV
Desert Sunlight 250 solar farm,16,39.0,MWac,2013.0,,33.8055,-115.3947,Riverside County,California,PV
Desert Sunlight 250 solar farm,17,39.0,MWac,2014.0,,33.8055,-115.3947,Riverside County,California,PV
Desert Sunlight 250 solar farm,18,26.0,MWac,2014.0,,33.8055,-115.3947,Riverside County,California,PV
Desert Sunlight 250 solar farm,19,29.0,MWac,2014.0,,33.8055,-115.3947,Riverside County,California,PV
Desert Sunlight 250 solar farm,20,25.0,MWac,2014.0,,33.8055,-115.3947,Riverside County,California,PV
Desert Sunlight 300 solar farm,1,20.0,MWac,2013.0,,33.8231,-115.3939,Riverside County,California,PV
Desert Sunlight 300 solar farm,10,23.0,MWac,2014.0,,33.8231,-115.3939,Riverside County,California,PV
Desert Sunlight 300 solar farm,2,30.0,MWac,2013.0,,33.8231,-115.3939,Riverside County,California,PV
Desert Sunlight 300 solar farm,3,30.0,MWac,2013.0,,33.8231,-115.3939,Riverside County,California,PV
Desert Sunlight 300 solar farm,4,40.0,MWac,2013.0,,33.8231,-115.3939,Riverside County,California,PV
Desert Sunlight 300 solar farm,5,40.0,MWac,2013.0,,33.8231,-115.3939,Riverside County,California,PV
Desert Sunlight 300 solar farm,6,40.0,MWac,2013.0,,33.8231,-115.3939,Riverside County,California,PV
Desert Sunlight 300 solar farm,7,25.0,MWac,2014.0,,33.8231,-115.3939,Riverside County,California,PV
Desert Sunlight 300 solar farm,8,20.0,MWac,2014.0,,33.8231,-115.3939,Riverside County,California,PV
Desert Sunlight 300 solar farm,9,25.0,MWac,2014.0,,33.8231,-115.3939,Riverside County,California,PV
Dodge Flat solar farm,,200.0,MWac,2022.0,,40.713,-119.4672,Washoe County,Nevada,PV
Drew Solar,,100.0,MWac,2022.0,,32.6872,-115.6656,Imperial County,California,PV
East Line Solar,,100.0,MWac,2020.0,,32.847,-111.5651,Pinal County,Arizona,PV
Edwards Sanborn solar farm,E1A,149.0,MWac,2022.0,,34.9619,-118.1242,Kern County,California,PV
Edwards Sanborn solar farm,E1B,154.0,MWac,2022.0,,35.9924,-118.1026,Tulare County,California,PV
Edwards Sanborn solar farm,E2,138.0,MWac,2021.0,,34.9415,-118.129,Kern County,California,PV
Edwards Sanborn solar farm,E3,27.0,MWac,2021.0,,34.9463,-118.1265,Kern County,California,PV
Edwards Sanborn solar farm,E4,149.0,MWac,2022.0,,34.9436,-118.088,Kern County,California,PV
Edwards Sanborn solar farm,E5,68.0,MWac,2022.0,,34.9653,-118.0773,Kern County,California,PV
Edwards Sanborn solar farm,S1,45.0,MWac,2022.0,,35.0277,-118.1328,Kern County,California,PV
Edwards Sanborn solar farm,S3,38.0,MWac,2022.0,,35.0164,-118.1225,Kern County,California,PV
Edwards Sanborn solar farm,S4,41.0,MWac,2022.0,,35.0125,-118.1193,Kern County,California,PV
Elevation Solar C,,40.0,MWac,2016.0,,34.7303,-118.3043,Los Angeles County,California,PV
Encino Solar Energy Center,,55.0,MWac,2020.0,,35.354,-106.858,Sandoval County,New Mexico,PV
Enterprise (Milford) solar farm,1,80.0,MWac,2016.0,,38.5242,-113.0339,Beaver County,Utah,PV
Enterprise (Milford) solar farm,2,80.0,MWac,2016.0,,38.5008,-113.03,Beaver County,Utah,PV
Enterprise (Milford) solar farm,3,80.0,MWac,2016.0,,38.4978,-112.9869,Beaver County,Utah,PV
Enterprise (New Castle) solar farm,,80.0,MWac,2016.0,,37.6411,-113.6125,Iron County,Utah,PV
Fish Springs Ranch solar farm,1,100.0,MWac,2022.0,,40.0747,-119.9742,Washoe County,Nevada,PV
Five Points Solar Park,,60.0,MWac,2016.0,,36.393,-120.239,Fresno County,California,PV
Frontier Solar,,20.0,MWac,2016.0,,37.367,-121.149,Stanislaus County,California,PV
Garland solar farm,1,20.0,MWac,2016.0,,34.823,-118.504,Kern County,California,PV
Garland solar farm,2,185.0,MWac,2016.0,,34.8253,-118.525,Kern County,California,PV
Gaskell West 1 Solar Facility,,20.0,MWac,2018.0,,34.8328,-118.5636,Kern County,California,PV
Gates Solar Station,,20.0,MWac,2013.0,,36.1764,-120.1142,Kings County,California,PV
Genesis Solar Enegy Project,1,125.0,MWac,2013.0,,33.665,-114.9981,Riverside County,California,PV
Genesis Solar Enegy Project,2,125.0,MWac,2014.0,,33.665,-114.9981,Riverside County,California,PV
Giffen Solar Park,,20.0,MWac,2017.0,,36.552,-120.339,Fresno County,California,PV
Gila Bend Hybrid solar farm,,32.0,MWac,2014.0,,32.949,-112.771,Maricopa County,Arizona,PV
Golden Field Solar,1,54.0,MWac,2016.0,,34.839,-118.3868,Kern County,California,PV
Golden Field Solar,3,192.0,MWac,2020.0,,34.86,-118.331,Kern County,California,PV
Grand View Solar Two,1,20.0,MWac,2016.0,,43.0186,-116.0071,Owyhee County,Idaho,PV
Grand View Solar Two,2,60.0,MWac,2016.0,,43.0186,-116.0071,Owyhee County,Idaho,PV
Granite Mountain Solar,East,80.0,MWac,2016.0,,37.7751,-113.2264,Iron County,Utah,PV
Granite Mountain Solar,West,50.0,MWac,2016.0,,37.786,-113.28,Iron County,Utah,PV
Graphite Solar I,,80.0,MWac,2022.0,,39.554,-110.715,Carbon County,Utah,PV
Gray Hawk Solar,,55.0,MWac,2018.0,,35.346,-113.912,Mohave County,Arizona,PV
Grazing Yak Solar,,35.0,MWac,2019.0,,38.9778,-104.2527,El Paso County,Colorado,PV
Great Valley Solar Portfolio Holdings,1,20.0,MWac,2017.0,,36.5812,-120.3796,Fresno County,California,PV
Great Valley Solar Portfolio Holdings,2,20.0,MWac,2017.0,,36.5812,-120.3796,Fresno County,California,PV
Great Valley Solar Portfolio Holdings,3,60.0,MWac,2017.0,,36.613,-120.385,Fresno County,California,PV
Great Valley Solar Portfolio Holdings,4,102.0,MWac,2018.0,,36.5812,-120.3796,Fresno County,California,PV
Guernsey Solar Station,,20.0,MWac,2013.0,,36.1639,-119.6506,Kings County,California,PV
Harry Allen Solar Energy,,100.0,MWac,2021.0,,36.426,-114.923,Clark County,Nevada,PV
Hayworth Solar,,27.0,MWac,2015.0,,35.323,-118.82,Kern County,California,PV
Hecate Energy Beacon Solar,1,56.0,MWac,2017.0,,35.2694,-118.0144,Kern County,California,PV
Hecate Energy Beacon Solar,3,56.0,MWac,2016.0,,35.2531,-118.0147,Kern County,California,PV
Hecate Energy Beacon Solar,4,50.0,MWac,2016.0,,35.2536,-118.0269,Kern County,California,PV
Henrietta Solar Project,,102.0,MWac,2016.0,,36.2188,-119.8058,Kings County,California,PV
High Desert Hybrid solar farm,,100.0,MWac,2021.0,,34.6365,-117.3724,San Bernardino County,California,PV
Hooper Solar,,52.0,MWac,2015.0,,37.6919,-105.9908,Alamosa County,Colorado,PV
Hunter Solar,1,100.0,MWac,2021.0,,39.1422,-111.0511,Emery County,Utah,PV
Huron Solar Station,,20.0,MWac,2012.0,,36.179,-120.106,Fresno County,California,PV
Imperial Valley Solar Company 1,,23.0,MWac,2012.0,,33.2458,-115.4975,Imperial County,California,PV
Imperial Valley Solar Company 2,,20.0,MWac,2015.0,,33.2522,-115.4975,Imperial County,California,PV
Iron Springs Solar,,80.0,MWac,2016.0,,37.7212,-113.1516,Iron County,Utah,PV
Ivanpah Solar Electric Generating System,1,117.0,MWac,2013.0,,35.5331,-115.4525,San Bernardino County,California,PV
Ivanpah Solar Electric Generating System,2,130.0,MWac,2013.0,,35.5561,-115.4686,San Bernardino County,California,PV
Ivanpah Solar Electric Generating System,3,130.0,MWac,2013.0,,35.5808,-115.4825,San Bernardino County,California,PV
