pathname,from,to,forward_capacity,reverse_capacity,normal_direction,voltage
wecc_path_01,Alberta,British Columbia,1000,1200,WE,500
wecc_path_02,Alberta,Saskatchewan,150,150,EW,DC
wecc_path_03,Northwest,British Columbia,3150,3000,SN,500
wecc_path_04,West of Cascades,North,10700,,EW,500
wecc_path_05,West of Cascades,South,7200,,EW,500
wecc_path_06,West of Hatwai,,4277,,EW,500
wecc_path_08,Montana,Northwest,2200,1350,EW,500
wecc_path_09,West of Broadview,,2753,,EW,500
wecc_path_10,West of Colstrip,,2598,,EW,500
wecc_path_11,West of Crossover,,2598,,EW,500
wecc_path_14,Idaho,Northwest,2400,1200,EW,500
wecc_path_15,Midway,Los Banos,2000-3265,4800-5400,NS,500
wecc_path_16,Idaho,Sierra,500,360,,345
wecc_path_17,Borah West,,2557,1600,,345
wecc_path_18,Montana,Idaho,383,256,NS,230
wecc_path_19,Bridger West,,2400,1250,EW,345
wecc_path_20,Path C,,1600,1250,SN,345
wecc_path_22,Southwest of Four Corners,,2325,,EW,500
wecc_path_23,Four Corners Transformer,,,,,500
wecc_path_24,PG&E,Sierra,160,150,115
wecc_path_25,PacificCorp,PG&E,150,,,115
wecc_path_26,Northern California,Southern California,4000,3000,,500
wecc_path_27,IPP DC Line,,2400,1400,NS,500
wecc_path_28,Intermountain,Mona,1200,,,345
wecc_path_29,Intermountain,Gonder,2000,,EW,230
wecc_path_30,TOT 1A,,650,,EW,345
wecc_path_31,TOT 2A,,690,,NS,345
wecc_path_32,Pavant Intr-mtn,Gonder,500,235,EW,230
wecc_path_33,Bonanza West,,785,,EW,345
wecc_path_34,TOT 2B See Paths 78 and 79,,780,850,NS,
wecc_path_35,TOT 2C,,600,580,NESW,345
wecc_path_36,TOT 3,,1680,,NS,345
wecc_path_37,See Path 85,
wecc_path_38,TOT 4B,,880,,,230
wecc_path_39,TOT 5,,,,345
wecc_path_40,TOT 7,,890,,,230
wecc_path_41,Sylmar,SCE,1600,1600,,230
wecc_path_42,IID,SCE,750,,,230
wecc_path_43,North of San Onofre,,,,,
wecc_path_44,South of San Onofre,,,,,
wecc_path_45,SDG&E,CFE,408,800,SN,
wecc_path_46,West of Colorado River (WOR),,11200,11200,,500
wecc_path_47,Southern New Mexico (NM1),,1048,,NS,345
wecc_path_48,Northern New Mexico (NM2),,2150,2150,NWSE,345
wecc_path_49,East of Colorado River (EOR),,10100,,EW,500
wecc_path_50,Cholla Pinnacle Peak,,1200,,NESW,345
wecc_path_51,Southern Navajo,,2800,,NS,500
wecc_path_52,Silver Peak,Control,17,17,,55
wecc_path_54,Coronado West,,1494,,,500
wecc_path_55,Brownlee East,,1915,,,230
wecc_path_58,Eldorado,Mead,1140,1140,,230
wecc_path_59,WALC Blythe, SCE Blythe,218,,,161
wecc_path_60,Inyo,Control,56,56,,115
wecc_path_61,Lugo,Victorville,2400,900,NS,500
wecc_path_62,Eldorado,McCullough,2598,2598,,500
wecc_path_64,Marketplace,Adelanto,,,,500
wecc_path_65,Pacific DC Intertie (PDCI),,3220,3100,NS,500
wecc_path_66,California Oregon Intertie,,4800,3675,NS,500
wecc_path_71,South of Allston,,1170,,,500
wecc_path_73,North of John Day,,,,,,
wecc_path_75,Hemingway,Summer Lake,1500,400,EW,500
wecc_path_76,Alturas Project,,300,,,345
wecc_path_77,Crystal,Allen,300,,,500
wecc_path_78,TOT 2B1,,700,,,345
wecc_path_79,TOT 2B2,,265,300,,230
wecc_path_80,Montana Southeast,,600,600,,230
wecc_path_81,Centennial,,3790,,,500
wecc_path_82,TOT B East,,2465,,,500
wecc_path_83,Montana,Alberta,300,,,230
wecc_path_84,Harry Allen,Eldorado,1390,,,500
wecc_path_85,Aeolus West,,1816,,,500
wecc_path_86,West of John Day,,4760,,,500
wecc_path_87,West of McNary,,4925,,,500
wecc_path_88,West of Slatt,,4760,,,500
wecc_path_89,Southern Nevada Transmission Interface Plus,,6257,4681,,500