datetime,geocode,latitude,longitude,status,power[MVA],voltage_level[kV],voltage[pu],voltage[deg]
2020-08-01 01:00:00,9wdb95,36.670897,-108.581419,ONLINE,30.8,345,1.014,2.085
2020-08-01 01:00:00,9wdb95,36.670897,-108.581419,ONLINE,30.8,230,0.973,-0.292
2020-08-01 01:00:00,9we1bp,36.910483,-108.278462,ONLINE,207.3,345,1.030,-0.042
2020-08-01 01:00:00,9w1zzg,35.131373,-109.690674,ONLINE,82.1,500,1.010,-1.021
2020-08-01 01:00:00,9w1wf0,34.940278,-110.300278,ONLINE,28.6,345,0.995,1.496
2020-08-01 01:00:00,9w3h8n,35.985019,-111.090655,ONLINE,12.2,500,1.091,-0.335
2020-08-01 01:00:00,9w94m0,36.961002,-110.864429,ONLINE,1.1,500,1.080,2.416
2020-08-01 01:00:00,9qqk6u,35.929472,-114.835922,ONLINE,254.1,500,1.045,2.700
2020-08-01 01:00:00,9qw0kp,36.649771,-115.134207,ONLINE,20.4,500,1.024,0.881
2020-08-01 01:00:00,9qw0kp,36.649771,-115.134207,ONLINE,20.4,345,1.005,-2.659
2020-08-01 01:00:00,9mzqxj,33.513802,-113.239936,ONLINE,805.6,500,1.035,-2.216
2020-08-01 01:00:00,9w01f3,34.067027,-112.396715,ONLINE,119.3,500,1.059,-1.507
2020-08-01 01:00:00,9mtzm4,32.227887,-115.436076,ONLINE,19.6,230,1.000,2.074
2020-08-01 01:00:00,9mvgw4,32.971469,-115.394435,ONLINE,19.6,230,1.035,0.113
2020-08-01 01:00:00,9muccv,32.680823,-116.982615,ONLINE,359.8,230,0.991,-2.572
2020-08-01 01:00:00,9mudw2,32.784153,-117.137829,ONLINE,359.8,230,1.005,-2.796
2020-08-01 01:00:00,9qj152,33.927377,-116.575220,ONLINE,497.3,500,1.030,-0.936
2020-08-01 01:00:00,9qhe90,34.369347,-117.368876,ONLINE,346.7,500,1.050,-1.129
2020-08-01 01:00:00,9qh3ky,34.008174,-117.564527,ONLINE,346.7,500,1.032,0.846
2020-08-01 01:00:00,9qh8k2,33.796667,-117.224444,ONLINE,497.3,500,1.027,2.740
2020-08-01 01:00:00,9q5epx,34.317296,-118.495046,ONLINE,629.8,230,1.011,1.522
2020-08-01 01:00:00,9q5fq8,34.150436,-118.184526,ONLINE,629.8,230,1.008,-2.399
2020-08-01 01:00:00,9q5bwz,33.879856,-118.175222,ONLINE,629.8,230,0.975,-2.046
2020-08-01 01:00:00,9qh18k,34.037233,-118.110120,ONLINE,629.8,230,1.009,-2.894
2020-08-01 01:00:00,9qh3ky,34.008174,-117.564527,ONLINE,346.7,230,1.020,0.072
2020-08-01 01:00:00,9q5evq,34.442694,-118.588440,ONLINE,89.0,230,1.007,-2.128
2020-08-01 01:00:00,9qhh0n,34.488498,-118.121470,ONLINE,629.8,230,1.020,1.151
2020-08-01 01:00:00,9qh0rw,33.828436,-117.790130,ONLINE,346.7,230,1.023,-2.756
2020-08-01 01:00:00,9mumuf,33.370212,-117.557619,ONLINE,346.7,230,1.009,1.562
2020-08-01 01:00:00,9qhkxd,34.552197,-117.437004,ONLINE,68.9,500,1.056,-3.086
2020-08-01 01:00:00,9q5f6t,34.176429,-118.360306,ONLINE,629.8,500,1.023,3.131
2020-08-01 01:00:00,9rpbwn,39.500381,-112.580826,ONLINE,8.3,345,1.030,2.944
2020-08-01 01:00:00,9q5sgb,34.589863,-118.663274,ONLINE,89.0,230,1.015,3.129
2020-08-01 01:00:00,9q5fm0,34.146111,-118.255000,ONLINE,629.8,230,1.000,-1.437
2020-08-01 01:00:00,9mupsy,33.697565,-117.911364,ONLINE,346.7,230,1.004,0.176
2020-08-01 01:00:00,9q5g0q,34.311310,-118.455696,ONLINE,629.8,230,1.015,2.936
2020-08-01 01:00:00,9q5epc,34.285768,-118.484219,ONLINE,629.8,230,1.014,2.570
2020-08-01 01:00:00,9q5cts,34.037697,-118.230212,ONLINE,629.8,230,0.995,2.060
2020-08-01 01:00:00,9q5cw0,34.015353,-118.204015,ONLINE,629.8,230,1.002,0.483
2020-08-01 01:00:00,9q5f6t,34.176429,-118.360306,ONLINE,629.8,230,1.005,-2.864
2020-08-01 01:00:00,9q5cw0,34.015353,-118.204015,ONLINE,629.8,230,0.997,1.726
2020-08-01 01:00:00,9q5fj1,34.109480,-118.254629,ONLINE,629.8,230,0.998,-0.003
2020-08-01 01:00:00,9q5dy2,34.234263,-118.550256,ONLINE,629.8,230,1.011,1.573
2020-08-01 01:00:00,9q5epx,34.317296,-118.495046,ONLINE,629.8,230,1.013,2.875
2020-08-01 01:00:00,9qh8k2,33.796667,-117.224444,ONLINE,497.3,230,1.009,2.513
2020-08-01 01:00:00,9q5cw0,34.015353,-118.204015,ONLINE,629.8,138,1.013,-0.622
2020-08-01 01:00:00,9q8yyz,37.788555,-122.395045,ONLINE,130.7,230,0.981,-1.494
2020-08-01 01:00:00,9q8yqr,37.704337,-122.410274,ONLINE,130.7,230,0.986,-0.350
2020-08-01 01:00:00,9q9jb9,37.582985,-122.318546,ONLINE,74.1,230,0.993,1.782
2020-08-01 01:00:00,9q8yqr,37.704337,-122.410274,ONLINE,130.7,115,0.986,1.071
2020-08-01 01:00:00,9q8yyc,37.758430,-122.398000,ONLINE,130.7,115,1.000,1.061
2020-08-01 01:00:00,9qc0p1,37.978056,-122.031111,ONLINE,142.9,230,1.004,1.709
2020-08-01 01:00:00,9q9pk4,37.848161,-122.160880,ONLINE,142.9,230,1.002,2.154
2020-08-01 01:00:00,9q9m24,37.501131,-121.987444,ONLINE,172.6,230,1.001,2.061
2020-08-01 01:00:00,9qc26h,38.037129,-121.897096,ONLINE,142.9,230,1.010,0.146
2020-08-01 01:00:00,9q9peh,37.905327,-122.208867,ONLINE,142.9,230,1.001,-2.520
2020-08-01 01:00:00,9q9hgh,37.419806,-122.204217,ONLINE,31.6,230,0.984,-1.386
2020-08-01 01:00:00,9q97v8,37.222363,-121.746496,ONLINE,200.0,230,1.000,0.805
2020-08-01 01:00:00,9q9hq4,37.322286,-122.073790,ONLINE,31.6,230,0.990,-0.762
2020-08-01 01:00:00,9q9jk9,37.494231,-122.138182,ONLINE,172.6,230,0.995,1.500
2020-08-01 01:00:00,9qd9xh,36.850535,-119.924420,ONLINE,16.9,230,0.967,-1.284
2020-08-01 01:00:00,9qdbm8,36.609214,-119.639632,ONLINE,154.0,230,1.000,-1.541
2020-08-01 01:00:00,9qd2ds,36.675814,-120.466280,ONLINE,16.9,230,0.988,-2.379
2020-08-01 01:00:00,9qct8r,38.978333,-121.625833,ONLINE,13.0,230,0.962,-3.010
2020-08-01 01:00:00,9qben2,38.497952,-122.761324,ONLINE,80.0,230,1.000,1.616
2020-08-01 01:00:00,9pr8ne,40.801944,-124.163611,ONLINE,14.3,115,1.015,2.338
2020-08-01 01:00:00,9r4bc7,39.527222,-119.821944,ONLINE,79.0,115,1.007,-1.839
2020-08-01 01:00:00,9q603v,35.230747,-120.855104,ONLINE,32.2,500,1.049,0.233
2020-08-01 01:00:00,9q6tde,36.144321,-120.124187,ONLINE,12.4,230,1.002,-0.841
2020-08-01 01:00:00,9q713t,35.408481,-119.456003,ONLINE,40.3,230,1.035,-0.374
2020-08-01 01:00:00,9q613c,35.385430,-120.858669,ONLINE,32.2,230,1.019,2.757
2020-08-01 01:00:00,9q92vz,36.737604,-121.732796,ONLINE,38.7,500,1.000,-2.263
2020-08-01 01:00:00,9q9w99,37.712470,-121.565283,ONLINE,179.0,500,1.035,0.994
2020-08-01 01:00:00,9qcbq0,38.016220,-121.015147,ONLINE,15.1,230,0.970,-1.151
2020-08-01 01:00:00,9qcem3,38.547942,-121.407942,ONLINE,198.3,230,0.975,2.262
2020-08-01 01:00:00,9qcxqg,39.261700,-121.337000,ONLINE,21.9,230,0.987,1.088
2020-08-01 01:00:00,9qcjcp,39.018333,-122.290278,ONLINE,7.4,230,0.980,-0.426
2020-08-01 01:00:00,9r1jcf,40.397712,-122.265115,ONLINE,4.9,230,1.043,2.144
2020-08-01 01:00:00,9r10zd,39.521944,-122.013889,ONLINE,3.3,230,1.025,2.363
2020-08-01 01:00:00,9qcggm,38.657961,-121.137023,ONLINE,93.5,230,0.988,-0.120
2020-08-01 01:00:00,9qbbed,38.070278,-122.538611,ONLINE,24.1,230,0.991,-2.138
2020-08-01 01:00:00,9qbcde,38.249937,-122.583996,ONLINE,20.2,230,0.997,2.898
2020-08-01 01:00:00,9r106e,39.435504,-122.233270,ONLINE,3.3,230,1.022,2.612
2020-08-01 01:00:00,9q9fy1,37.054001,-121.022616,ONLINE,38.3,230,1.010,-2.052
2020-08-01 01:00:00,9q92vz,36.737604,-121.732796,ONLINE,38.7,230,0.994,0.256
2020-08-01 01:00:00,9r1867,39.435556,-121.538056,ONLINE,27.2,230,0.997,2.232
2020-08-01 01:00:00,9qcts0,38.936080,-121.463992,ONLINE,13.0,230,0.990,2.558
2020-08-01 01:00:00,9r321k,40.808138,-121.936762,ONLINE,27.7,230,1.070,1.501
2020-08-01 01:00:00,9r13pb,39.555480,-121.645379,ONLINE,27.2,230,1.016,-0.159
2020-08-01 01:00:00,9q9w99,37.712470,-121.565283,ONLINE,179.0,230,1.018,-1.025
2020-08-01 01:00:00,9qc63x,38.404370,-121.918134,ONLINE,77.9,230,1.009,0.827
2020-08-01 01:00:00,9qcts0,38.936080,-121.463992,ONLINE,13.0,115,0.998,-0.703
2020-08-01 01:00:00,9r9uxw,43.016085,-120.953695,ONLINE,14.6,500,1.114,2.571
2020-08-01 01:00:00,9rcvn1,44.481129,-121.015420,ONLINE,44.9,500,1.101,0.562
2020-08-01 01:00:00,c245ue,45.677819,-120.733553,ONLINE,68.8,500,1.080,0.941
2020-08-01 01:00:00,9r3wzq,42.004704,-121.318052,ONLINE,1.7,345,1.080,-1.832
2020-08-01 01:00:00,c21g7y,45.606640,-121.115583,ONLINE,77.8,230,1.080,1.132
2020-08-01 01:00:00,c21g7u,45.594757,-121.113585,ONLINE,200.2,230,1.079,0.892
2020-08-01 01:00:00,c2e2u0,47.947893,-118.996055,ONLINE,29.8,500,1.128,-1.299
2020-08-01 01:00:00,c26crp,46.669392,-119.573343,ONLINE,124.9,500,1.096,-2.283
2020-08-01 01:00:00,c2kx95,47.746353,-117.373738,ONLINE,200.3,500,1.081,2.544
2020-08-01 01:00:00,c2kx95,47.746353,-117.373738,ONLINE,200.3,230,1.052,-2.140
2020-08-01 01:00:00,c2967d,48.222760,-121.837459,ONLINE,241.9,500,1.120,-2.195
2020-08-01 01:00:00,c237sz,47.065363,-121.779859,ONLINE,540.5,500,1.060,